;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kT;;;3 242;3 251;3 302;2 896;3 069;3 328;3 425;3 229;3 338;3 433;3 189;3 557;3 403;3 055;2 776;3 226;3 469;3 432;3 281;3 172;2 997;3 527;2 983;3 675
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pig iron;kT;;;150;94;105;86;56;59;178;143;260;205;145;297;47;156;54;253;292;368;389;437;32;134;249;202
Slabs;kT;;;1 625;1 705;1 632;1 605;1 651;1 659;1 706;1 712;1 823;1 750;1 585;1 902;1 852;1 510;1 290;1 497;1 665;1 571;1 314;1 229;1 514;2 014;1 363;1 742
Hot-rolled steel;kT;;;747;618;730;504;651;751;659;595;514;666;567;556;686;588;563;669;641;764;680;701;666;607;693;802
Other metal products**;kT;;;;;;-;;;;-;;;;-;;;;-;-;-;-;-;-;-;29;7
High value added products:;kT;;;719;835;834;701;712;859;881;779;741;811;893;801;818;802;869;806;871;730;898;806;784;771;649;922
Cold-rolled steel;kT;;;386;407;387;300;355;438;396;367;318;362;389;379;402;388;415;364;416;322;411;374;387;323;281;416
Galvanized steel;kT;;;112;171;175;162;145;165;227;176;197;198;227;190;195;172;200;213;216;185;229;203;184;212;175;260
Pre-painted steel;kT;;;91;119;138;112;75;102;133;96;87;101;128;111;89;100;117;113;97;96;129;82;81;96;69;117
Dynamo steel;kT;;;58;73;79;75;82;87;62;68;72;77;79;53;61;68;75;50;72;62;66;68;65;62;55;60
Transformer steel;kT;;;72;64;55;54;56;66;63;72;68;73;69;70;71;74;63;66;70;65;64;78;67;77;69;68
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kT;;;799;1 272;1 015;960;1 219;1 325;982;814;1 257;1 125;961;969;745;933;550;851;970;598;410;735;913;1 139;618;1 151
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pig iron;kT;;;15;10;-;45;1;1;2;2;2;4;3;3;-;-;-;-;-;-;-;-;2;1;3;2
Slabs;kT;;;768;1 262;1 015;915;1 180;1 270;958;807;1 254;1 118;956;954;735;933;550;851;970;598;410;728;911;1 130;534;1 093
Hot-rolled steel;kT;;;-;-;-;-;-;-;-;-;-;-;2;11;-;-;-;-;-;-;-;7;0;8;80;8
Cold-rolled steel;kT;;;16;-;-;-;38;53;22;6;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;44
Galvanized steel;kT;;;-;-;-;-;-;-;-;-;2;3;-;2;-;-;-;-;-;-;-;-;-;-;-;5
