;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RUSSIAN FLAT PRODUCTS;;;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;;2014;2015;Q1 2016;H1 2016;9M 2016;2016;Q1 2017;H1 2017;9M 2017;2017;Q1 2018;H1 2018;9M 2018;2018;Q1 2019;H1 2019;9M 2019;2019;Q1 2020;H1 2020;9M 2020;2020;Q1 2021;H1 2021;9M 2021;2021;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SEGMENT SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL SALES;;kT;;;3 242;3 251;3 302;2 896;3 069;3 328;3 425;3 229;3 338;3 433;3 189;3 557;3 403;3 055;2 776;3 226;3 469;3 432;3 281;3 172;2 997;3 527;2 983;3 675;;12 260;13 029;3 242;6 493;9 795;12 691;3 069;6 397;9 822;13 051;3 338;6 770;9 959;13 516;3 403;6 458;9 234;12 460;3 469;6 902;10 182;13 355;2 997;6 524;9 507;13 181;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Pig iron;kT;;;150;94;105;86;56;59;178;143;260;205;145;297;47;156;54;253;292;368;389;437;32;134;249;202;;264;683;150;244;349;435;56;114;292;435;260;465;610;907;47;203;257;510;292;659;1 048;1 485;32;166;415;617;;;;;;;;;;;;;;;;;;;
;;;Slabs;kT;;;1 625;1 705;1 632;1 605;1 651;1 659;1 706;1 712;1 823;1 750;1 585;1 902;1 852;1 510;1 290;1 497;1 665;1 571;1 314;1 229;1 514;2 014;1 363;1 742;;6 489;6 834;1 625;3 330;4 963;6 567;1 651;3 310;5 016;6 728;1 823;3 573;5 158;7 060;1 852;3 362;4 651;6 148;1 665;3 236;4 550;5 779;1 514;3 529;4 891;6 634;;;;;;;;;;;;;;;;;;;
;;;Hot-rolled steel;kT;;;747;618;730;504;651;751;659;595;514;666;567;556;686;588;563;669;641;764;680;701;666;607;693;802;;2 406;2 510;747;1 365;2 095;2 599;651;1 402;2 061;2 656;514;1 181;1 748;2 304;686;1 274;1 837;2 506;641;1 405;2 085;2 785;666;1 274;1 967;2 769;;;;;;;;;;;;;;;;;;;
;;;Other metal products**;kT;;;;;;-;;;;-;;;;-;;;;-;-;-;-;-;-;-;29;7;;-;-;;;;-;-;-;-;-;-;-;-;-;;;;-;-;-;-;-;-;-;29;36;;;;;;;;;;;;;;;;;;;
